file,tier,origin_id,source_url,visual_decision,notes
A_core/A01_mogao321_top_scroll.png,A_core,莫高窟321窟,https://www.zsbeike.com/tp/7588183.html,通过,单一横向主藤可追踪且花位和回卷分支丰富
A_core/A02_thesis_mogao211.png,A_core,莫高窟211窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,通过,主藤节奏清楚且花与支藤关系明确
A_core/A03_thesis_mogao392.png,A_core,莫高窟392窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,通过,波状母藤和交替花位清楚
A_core/A04_thesis_mogao225_row2.png,A_core,莫高窟225窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,通过,大弧主藤与中心花枝层级可辨
A_core/A05_mogao225_lotus_scroll.png,A_core,莫高窟225窟,https://www.zsbeike.com/tp/7588251.html,通过,莲蓬花位与大弧主藤关系明确且分支丰富
A_core/A06_thesis_mogao418_row2.png,A_core,莫高窟418窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,通过,连续波状藤连接两端花位且分支可拆
A_core/A07_thesis_mogao418_row3.png,A_core,莫高窟418窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,通过,主藤连续且叶枝和花枝层级清楚
A_core/A08_journal_mogao180.png,A_core,莫高窟180窟,https://ygx.sxu.edu.cn/db/%E6%9C%9F%E5%88%8A/dhxjk/dhxj2017/1704pdf/170416.pdf,通过,大波形母藤与中心花位明确但原图条带较小
B_auxiliary/B01_journal_mogao154.png,B_auxiliary,莫高窟154窟,https://ygx.sxu.edu.cn/db/%E6%9C%9F%E5%88%8A/dhxjk/dhxj2017/1704pdf/170416.pdf,辅助,卷草连续但花位弱且局部密集
B_auxiliary/B02_zsbeike_mogao196_dense_scroll.png,B_auxiliary,莫高窟196窟,https://www.zsbeike.com/tp/7588265.html,辅助,二维线稿完整但主藤被大量叶卷遮挡
B_auxiliary/B03_traditional_art_mogao310_flower_vine.png,B_auxiliary,莫高窟310窟,https://www.zsbeike.com/tp/6300810.html,辅助,承花关系清楚但枝级过简且花形模块化
B_auxiliary/B04_thesis_mogao319.png,B_auxiliary,莫高窟319窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,辅助,黑底线稿清楚但母藤局部与填充纹混杂
B_auxiliary/B05_thesis_mogao217.png,B_auxiliary,莫高窟217窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,辅助,果位和枝叶丰富但单一父藤不够稳定
B_auxiliary/B06_thesis_mogao146.png,B_auxiliary,莫高窟146窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,辅助,传统线稿成立但分支过密
B_auxiliary/B07_sohu_simple_scroll.jpeg,B_auxiliary,敦煌线描图集未单列洞窟号,https://www.sohu.com/a/206052358_780733,辅助,连续主藤清楚但缺少可靠花位与二级分支
B_auxiliary/B08_thesis_mogao225_dense_row.png,B_auxiliary,莫高窟225窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,辅助,叶卷层次丰富但主干追踪难度较高
B_auxiliary/B09_thesis_mogao418_medallion_row.png,B_auxiliary,莫高窟418窟,https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01451691.pdf,辅助,中心花位明确但存在团花模块感
